date,u_t,C_fee,base_fee_gwei,G_eff,gas_price_gwei,S_t,S_regime,l1_tx_count,l2_tx_total,A_t,arbitrum_tx_count,A_arbitrum,optimism_tx_count,A_optimism,base_tx_count,A_base,P_calldata_bytes,P_calldata_mb,eth_close_usd,eth_return_1d,eth_return_1d_log,eth_volatility_30d,eth_price_log,regime_pre_london,regime_post_london,regime_post_merge,regime_post_dencun,weekday,is_weekend,day_of_month,is_month_end,D_star_lite,D_star_lite_evr,D_eth_return,D_cex_volume,D_trends,realized_volatility,cex_volume_log,trends_ethereum,stablecoin_net_usd,D_star
2015-11-12,,,,24.801664585145108,59050838844.0,,,,,,,,,,,,,,,,,,,True,False,False,False,3,False,12,False,,,,,,,,,,
2015-11-13,,,,24.665516921978675,51534479321.0,,,,,,,,,,,,,,,,,,,True,False,False,False,4,False,13,False,,,,,,,,,,
2015-11-14,,,,24.65932683069643,51216461485.0,,,,,,,,,,,,,,,,,,,True,False,False,False,5,True,14,False,,,,,,,,,,
2015-11-15,,,,24.66558133316781,51537798825.0,,,,,,,,,,,,,,,,,,,True,False,False,False,6,True,15,False,,,,,,,,,,
2015-11-16,,,,24.762239300387805,56768038418.0,,,,,,,,,,,,,,,,,,,True,False,False,False,0,False,16,False,,,,,,,,,,
2015-11-17,,,,24.754028923099398,56303859554.0,,,,,,,,,,,,,,,,,,,True,False,False,False,1,False,17,False,,,,,,,,,,
2015-11-18,,,,24.70324449399091,53515892028.0,,,,,,,,,,,,,,,,,,,True,False,False,False,2,False,18,False,,,,,,,,,,
2015-11-19,,,,24.71446134797515,54119551224.0,,,,,,,,,,,,,,,,,,,True,False,False,False,3,False,19,False,,,,,,,,,,
2015-11-20,,,,24.719352302035762,54384895828.0,,,,,,,,,,,,,,,,,,,True,False,False,False,4,False,20,False,,,,,,,,,,
2015-11-21,,,,24.712983537098843,54039631830.0,,,,,,,,,,,,,,,,,,,True,False,False,False,5,True,21,False,,,,,,,,,,
2015-11-22,,,,24.708416094535313,53793371733.0,,,,,,,,,,,,,,,,,,,True,False,False,False,6,True,22,False,,,,,,,,,,
2015-11-23,,,,24.74198405288081,55629754775.0,,,,,,,,,,,,,,,,,,,True,False,False,False,0,False,23,False,,,,,,,,,,
2015-11-24,,,,24.78444573747443,58042755370.0,,,,,,,,,,,,,,,,,,,True,False,False,False,1,False,24,False,,,,,,,,,,
2015-11-25,,,,24.716606087129758,54235748106.0,,,,,,,,,,,,,,,,,,,True,False,False,False,2,False,25,False,,,,,,,,,,
2015-11-26,,,,24.711997190234577,53986356287.0,,,,,,,,,,,,,,,,,,,True,False,False,False,3,False,26,False,,,,,,,,,,
2015-11-27,,,,24.702135107533827,53456555142.0,,,,,,,,,,,,,,,,,,,True,False,False,False,4,False,27,False,,,,,,,,,,
2015-11-28,,,,24.718023608859326,54312682973.0,,,,,,,,,,,,,,,,,,,True,False,False,False,5,True,28,True,,,,,,,,,,
2015-11-29,,,,24.69959960168262,53321187419.0,,,,,,,,,,,,,,,,,,,True,False,False,False,6,True,29,True,,,,,,,,,,
